Grant,"Organization Name","Focus Area",Amount,Date
"UC Davis — COVID-19 Antiviral Studies (Lark L. Coffey)","UC Davis","Scientific Research","$100,642","March 2021"
"FAI Farms — Carp, Tilapia, and Shrimp Welfare","FAI Farms","Farm Animal Welfare","$1,800,000","May 2021"
"Humane Society International — Farm Animal Welfare in Southeast Asia and Latin America","Humane Society International","Farm Animal Welfare","$650,000","May 2021"
"Anima International — Farm Animal Welfare Work","Anima International","Farm Animal Welfare","$152,000","April 2021"
"Working Families Party — Prosecutor Reforms in New York (2021)","Working Families Party","Criminal Justice Reform","$117,300","March 2021"
"We Animals Media — Farm Animal Welfare Videos and Mentorship","We Animals Media","Farm Animal Welfare","$5,801","April 2021"
"SPCA Selangor — Cage-Free Campaigns","SPCA Selangor","Farm Animal Welfare","$99,000","May 2021"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2021)","Smart Justice CA","Criminal Justice Reform","$365,000","April 2021"
"POWER — Voter Engagement on Criminal Justice Reform",POWER,"Criminal Justice Reform","$25,000","May 2021"
"FAI Farms — Cage-Free Egg Certification and Summit","FAI Farms","Cage-Free Reforms","$600,000","March 2021"
"Eurogroup for Animals — Fish Welfare (2021)","Eurogroup for Animals","Farm Animal Welfare","$1,190,000","May 2021"
"Abundant Housing Massachusetts — General Support","Abundant Housing Massachusetts","Land Use Reform","$600,000","March 2021"
"Stanford Existential Risks Initiative — Distribution of The Precipice","Stanford Existential Risk Initiative","Other Areas","$24,000","May 2021"
"Wilson Center — AI Policy Training Program","The Wilson Center",Longtermism,"$291,214","April 2021"
"Community Based Public Safety Collective — General Support","Community Based Public Safety Collective","Criminal Justice Reform","$150,000","April 2021"
"Rethink Charity — Farm Animal Welfare Movement Building","Rethink Charity","Farm Animal Welfare","$79,040","April 2021"
"Prison Policy Initiative — General Support (2021)","Prison Policy Initiative","Criminal Justice Reform","$250,000","April 2021"
"Brighter Green — Farm Animal Welfare Videos","Brighter Green","Farm Animal Welfare","$61,190","April 2021"
"University of Cambridge — Machine Learning Research","University of Cambridge",Longtermism,"$250,000","April 2021"
"Wakker Dier — Farm Animal Welfare Litigation","Wakker Dier","Farm Animal Welfare","$1,215,000","April 2021"
"Animal Protection Denmark — Wild-Caught Fish Welfare","Animal Protection Denmark","Farm Animal Welfare","$283,000","April 2021"
"Surge Network — Faith-Based Criminal Justice Reform Organizing","Surge Network","Criminal Justice Reform","$115,000","April 2021"
"Changing Markets Foundation — Fish Welfare Retail Campaigns","Changing Markets Foundation","Farm Animal Welfare","$500,000","February 2021"
"Compassion in World Farming USA — General Support (2021)","Compassion in World Farming USA","Broiler Chicken Welfare","$550,000","April 2021"
"University of Pennsylvania — Research on Mammalian Reproduction (Kotaro Sasaki) (2020)","University of Pennsylvania","Transformative Basic Science","$1,000,000","December 2020"
"CDC Foundation — Malaria Control Research Project (2021)","CDC Foundation","Human Health and Wellbeing","$672,500","March 2021"
"Center for a New American Security — Strategic Lessons from COVID-19","Center for a New American Security","Biosecurity & Pandemic Preparedness","$250,000","March 2021"
"Equity and Transformation — General Support (2021)","Equity and Transformation","Criminal Justice Reform","$100,000","March 2021"
"Faunalytics — Farm Animal Welfare Goal Setting and Impact Tracking",Faunalytics,"Farm Animal Welfare","$15,000","March 2021"
"Rethink Priorities — Moral Patienthood and Moral Weight Research","Rethink Priorities","Farm Animal Welfare","$315,500","March 2021"
"Massachusetts Institute of Technology Media Lab — Kevin Esvelt’s Research (2021)","Massachusetts Institute of Technology Media Lab","Biosecurity & Pandemic Preparedness","$1,000,000","March 2021"
"Centre for Pesticide Suicide Prevention — General Support (2021)","Centre for Pesticide Suicide Prevention","Global Health & Development","$6,949,382","January 2021"
"Dao Foods International — Plant-Based Meat Promotion","Dao Foods","Alternatives to Animal Products","$1,100,000","March 2021"
"University of Tübingen — Adversarial Robustness Research (Matthias Hein)","University of Tübingen",Longtermism,"$300,000","February 2021"
"University of Pennsylvania — Geopolitical Forecasting Research (2021)","University of Pennsylvania","Other Areas","$132,181","February 2021"
"Mercy for Animals — The People’s Fund","Mercy For Animals","Farm Animal Welfare","$69,750","January 2021"
"American Conservative Union Foundation — Criminal Justice Reform (2021)","American Conservative Union Foundation","Criminal Justice Reform","$150,000","February 2021"
"Immune Observatory — Single-Dose COVID-19 Vaccine Modeling","Immune Observatory","Biosecurity & Pandemic Preparedness","$100,000","February 2021"
"Mount Kenya University — Farm Animal Welfare Science Masters Program","Mount Kenya University","Farm Animal Welfare","$167,766","January 2021"
"Stanford Existential Risks Initiative — Global Catastrophic Risk Education","Stanford Existential Risks Initiative",Longtermism,"$1,500,000","January 2021"
"University of Toronto — Machine Learning Research","University of Toronto",Longtermism,"$520,000","December 2020"
"Effective Altruism Foundation — European Policy Research and Advocacy (2020)","Effective Altruism Foundation","Global Health & Development","$375,000","October 2020"
"L214 — Broiler Welfare Campaigns in France (2020)",L214,"Broiler Chicken Welfare","$1,642,046","November 2020"
"Vital Strategies — Support for a Consortium on Alcohol Control Policy","Vital Strategies","GiveWell-Recommended Charities","$100,000","January 2021"
"Hypermind — COVID-19 Forecasting",Hypermind,"Biosecurity & Pandemic Preparedness","$125,820","February 2021"
"Open Phil AI Fellowship — 2021 Class","Open Phil AI Fellowship",Longtermism,"$1,000,000","April 2021"
"SCI Foundation — General Support","SCI Foundation","GiveWell-Recommended Charities","$3,129,000","March 2021"
"Founders Pledge — General Support (2020)","Founders Pledge","Effective Altruism Community Growth","$1,500,000","December 2020"
"Ayni Institute — Criminal Justice Reform Coaching (2021)","Ayni Institute","Criminal Justice Reform","$100,000","January 2021"
"The END Fund — General Support (2020)","The END Fund","GiveWell-Recommended Charities","$500,000","December 2020"
"UC Berkeley — Adversarial Robustness Research (Dawn Song)","UC Berkeley",Longtermism,"$330,000","February 2021"
"UC Berkeley — Adversarial Robustness Research (David Wagner)","UC Berkeley",Longtermism,"$330,000","February 2021"
"Massachusetts Institute of Technology — Adversarial Robustness Research","Massachusetts Institute of Technology",Longtermism,"$1,430,000","February 2021"
"International Conference on Learning Representations — Machine Learning Paper Awards","International Conference on Learning Representations",Longtermism,"$3,500","May 2020"
"Wageningen University & Research — Wild-Caught Fish Welfare","Wageningen University &amp; Research","Farm Animal Welfare","$519,434","March 2021"
"GiveDirectly — General Support (2021)",GiveDirectly,"GiveWell-Recommended Charities","$500,000","January 2021"
"Sightsavers — Deworming Programs (February 2021)",Sightsavers,"GiveWell-Recommended Charities","$2,796,000","February 2021"
"Helen Keller International — Vitamin A Supplementation (December 2020)","Hellen Keller International","GiveWell-Recommended Charities","$8,059,000","December 2020"
"New Incentives — General Support (2021)","New Incentives","GiveWell-Recommended Charities","$16,785,243","January 2021"
"Global Alliance for Improved Nutrition — Universal Salt Iodization (January 2021)","Global Alliance for Improved Nutrition","GiveWell-Recommended Charities","$50,000","February 2021"
"Malaria Consortium — Seasonal Malaria Chemoprevention Programs (December 2020)","Malaria Consortium","GiveWell-Recommended Charities","$27,076,757","December 2020"
"Living Goods — General Support (December 2020)","Living Goods","GiveWell-Recommended Charities","$50,000","December 2020"
"Centre for Effective Altruism — General Support (2021)","Centre for Effective Altruism","Effective Altruism Community Growth","$7,500,000","February 2021"
"Iodine Global Network — General Support (December 2020)","Iodine Global Network","GiveWell-Recommended Charities","$50,000","December 2020"
"gui2de — Zusha! Road Safety Campaign (December 2020)","Georgetown University Initiative on Innovation, Development, and Evaluation","GiveWell-Recommended Charities","$50,000","December 2020"
"Project Healthy Children — General Support (December 2020)","Project Healthy Children","GiveWell-Recommended Charities","$50,000","December 2020"
"Texas Freedom Network — Texas Rising Program (2020)","Texas Freedom Network","Criminal Justice Reform","$150,000","December 2020"
"Global Health Security Network — Global Health Security Conference","Global Health Security Network","Biosecurity & Pandemic Preparedness","$50,000","November 2020"
"Evidence Action — Deworm the World Initiative","Evidence Action","GiveWell-Recommended Charities","$4,103,000","December 2020"
"New Incentives — General Support (2020)","New Incentives","Global Health & Development","$1,897,905","April 2020"
"Future of Life Institute — General Support (2020)","Future of Life Institute",Longtermism,"$176,000","November 2020"
"Faith in Action — Street Certified","Faith in Action","Criminal Justice Reform","$400,000","December 2020"
"The Humane League-UK — General Support","The Humane League-UK","Broiler Chicken Welfare","$507,900","December 2020"
"Fair and Just Prosecution — General Support (2021)","Fair and Just Prosecution","Criminal Justice Reform","$1,500,000","January 2021"
"OliLux Biosciences — Rapid Tuberculosis Detection and Treatment Management Tools","OliLux Biosciences","Human Health and Wellbeing","$400,000","January 2021"
"Smart Justice CA — California Criminal Justice Reform Lobbying (2020)","Smart Justice CA","Criminal Justice Reform","$50,000","December 2020"
"La Defensa — General Support","La Defensa","Criminal Justice Reform","$280,000","January 2021"
"Animal Friends Jogja — Farm Animal Welfare Work","Animal Friends Jogja","Farm Animal Welfare","$78,000","December 2020"
"Dignity and Power Now — Decarceration Work","Dignity and Power Now","Criminal Justice Reform","$1,700,000","December 2020"
"UC Berkeley — Center for Human-Compatible Artificial Intelligence (2021)","UC Berkeley",Longtermism,"$11,355,246","January 2021"
"Fórum Nacional de Proteção e Defesa Animal — Crate- and Cage-Free Campaigning in Brazil (2020)","Fórum Nacional de Proteção e Defesa Animal","Cage-Free Reforms","$100,000","December 2020"
"Food Fortification Initiative — General Support (December 2020)","Food Fortification Initiative","Global Health & Development","$50,000","December 2020"
"A New Way of Life — Civic Engagement Work","A New Way of Life","Criminal Justice Reform","$200,000","November 2020"
